Survey;answer_identifier;Informed Consent;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P19;P18;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;Online course frustration;Computer for exclusive use;Internet connection;Covid-concern1;Covid-concern2;Covid-concern3;Covid-concern4;Anonymized student ID
survey1;1;Yes;3;3;5;4;2;2;1;5;4;5;2;3;2;5;2;3;5;5;4;1;4;4;4;3;5;3;5;5;3;5;3;4;Yes;Stable, in some cases I've had issues;4;5;5;4;31
survey1;2;Yes;4;4;3;4;3;4;2;4;3;4;2;5;3;2;4;4;4;3;4;4;4;4;5;4;3;4;4;4;4;3;4;3;No;Stable, in some cases I've had issues;5;4;5;2;142
survey1;3;Yes;4;4;5;4;2;3;3;3;3;5;3;4;1;4;3;3;4;3;4;2;4;4;4;3;4;4;3;3;3;3;3;4;Yes;Stable, in some cases I've had issues;4;5;4;3;32
survey1;4;Yes;4;5;2;5;4;4;4;5;5;5;3;5;3;5;4;4;5;4;5;5;5;5;5;4;5;5;5;5;5;3;5;5;Yes;Unstable, sometimes I've got problems;2;4;4;3;252
survey1;5;Yes;4;5;3;4;3;4;3;4;3;5;3;5;4;2;3;3;4;4;5;3;4;4;5;3;4;4;3;3;4;3;3;4;Yes;Very stable;3;5;4;1;287
survey1;6;Yes;2;5;3;4;3;4;4;4;3;4;5;5;3;4;4;3;4;4;4;4;4;5;4;3;3;4;3;3;4;4;4;5;Yes;Unstable, sometimes I've got problems;4;4;3;3;264
survey1;7;Yes;4;4;2;4;2;4;3;2;2;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;1;Yes;Stable, in some cases I've had issues;4;4;4;2;88
survey1;8;Yes;3;4;2;3;3;3;3;4;4;4;4;5;3;4;2;4;4;4;4;4;5;4;3;3;3;4;4;4;4;4;4;3;Yes;Stable, in some cases I've had issues;3;4;4;2;312
survey1;9;Yes;4;5;3;5;3;4;3;2;2;5;4;5;4;1;3;4;5;4;4;3;5;5;5;4;3;4;5;3;4;3;3;4;No;Stable, in some cases I've had issues;4;4;4;2;261
survey1;10;Yes;5;4;2;4;4;4;3;3;4;5;4;4;5;4;4;5;5;5;5;4;4;4;4;4;4;4;4;3;4;4;4;3;Yes;Stable, in some cases I've had issues;4;4;4;1;453
